INSTITUCION;COD_IPRESS;NOMBRE;CLASIFICACION;TIPO_ESTABLECIMIENTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;DIRECCION;CO_DISA;COD_RED;COD_MICRORRED;DISA;RED;MICRORED;COD_UE;UNIDAD_EJECUTORA;CATEGORIA;TELEFONO;HORARIO;INICIO_ACTIVIDAD;ESTADO;NORTE;ESTE;IMAGEN_1;FE_ACT_IMAGEN_1;IMAGEN_2;FE_ACT_IMAGEN_2;IMAGEN_3;FE_ACT_IMAGEN_3
PRIVADO;31503;Centro Medico Las Mercedes;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;Lima;;;;;;;;;I-3;982004973;8:00 - 18:00;15/03/2022;CIERRE TEMPORAL DE OFICIO;-15.84178892;-70.02733625;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20220418212105.jpg;;;;;
PRIVADO;30224;LABORATORIO CLÍNICO BIOMARC;PATOLOGIA CLINICA,ANATOMIA PATOLOGICA,ATENCION DOMICILIARIA,ATENCION PRE HOSPITALARIA;SERVICIO MÉDICO DE APOYO;PUNO;PUNO;PUNO;210101;EL PUERTO;29;;;PUNO;;;;;0;951351048;7:00 - 19:00 ;30/12/2020;ACTIVO;-15.8388388;-70.0223792;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20201230124947.jpeg;;;;;
PRIVADO;32500;CENTRO DE SERVICIOS MEDICOS SAN JOSE;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;LIMA;;;0;;;NO PERTENECE A NINGUNA MICRORED;;;I-3;990008090;08:00 -19:00;1/07/2021;CIERRE TEMPORAL DE OFICIO;;;;;;;;
PRIVADO;32631;CENTRO MEDICO LOS ANGELES MOQUEGUA SAC;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;MARISACAL NIETO;29;;;PUNO;;;;;I-3;051-949663890;8:00 - 16:00;13/01/2022;ACTIVO;-15.8471685;-70.0220062;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20220802104515.jpeg;;;;;
PRIVADO;31037;ESPECIALIDADES OD3;CENTRO ODONTOLOGICO;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;Mariano Hilario Cornejo;29;;;PUNO;;;;;I-2;051-350566;8:00am 8:00pm;15/04/2020;ACTIVO;;;;;;;;
GOBIERNO REGIONAL;32922;"HOGAR PROTEGIDO ""BUEN VIVIR"" SUMA UTJAÑA";HOGARES PROTEGIDOS;SERVICIO MÉDICO DE APOYO;PUNO;PUNO;PUNO;210101;NEPOMUCENO ARCE;29;150;0;PUNO;PUNO;NO PERTENECE A NINGUNA MICRORED;919;SALUD PUNO;0;(51) 985111114;24 HORAS;10/12/2020;ACTIVO;-15.83941108;-70.03275974;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20230316111228.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20230316111232.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20230316111235.jpeg;
ESSALUD;32596;HOSPITAL I CLINICA UNIVERSITARIA;HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA;ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO;PUNO;PUNO;PUNO;210101;INCA GARCILAZO DE LA VEGA;29;0;;PUNO;NO PERTENECE A NINGUNA RED;;;;II-E;51368152;7:00 -7:00;22/09/2000;ACTIVO;-15.8449696;-70.0182327;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20220809102218.jpg;;;;;
PRIVADO;33317;CLINICA SANTA CASA;HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA;ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO;PUNO;PUNO;PUNO;210101;PANAMERICANA SUR;;;;;;;;;II-E;961815837;8:00 - 20:00;17/07/2022;CIERRE TEMPORAL DE OFICIO;-15.86155764;-70.00126504;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20220717113219.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20220717113259.jpeg;;;
PRIVADO;35128;CENTRO MEDICO WIÑAY;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;TACNA;29;;;PUNO;;;;;I-3;959777867;08:00 -20:00;22/11/2023;ACTIVO;-15.841435;-70.0246513;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20231122074956.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20231122075023.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20231122075015.jpeg;
PRIVADO;35159;CLINICA SANTO REMEDIO;CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO;ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO;PUNO;PUNO;PUNO;210101;RICARDO PALMA;29;;;PUNO;;;;;I-4;958323992;8:00 - 18:00;20/12/2023;ACTIVO;-15.8402218;-70.0218805;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20231220105642.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20231220105648.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20231220105653.jpeg;
PRIVADO;35165;CENTRO MEDICO ARCANGEL;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;4 DE NOVIEMBRE;29;;;PUNO;;;;;I-3;954525481;8:00 - 19:00;1/05/2024;ACTIVO;-15.85421858;-70.01622315;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240522104023.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240522104417.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240522104624.jpeg;
PRIVADO;35129;CONSULTORIO MEDICO DENTAL BOLIVAR SAC;CENTRO ODONTOLOGICO;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;SIMON BOLIVAR;;;;;;;;;I-3;985438907;9:00 - 19:00;21/11/2022;CIERRE TEMPORAL DE OFICIO;-15.851282;-70.016014;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20221121125338.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20221121125342.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20221121125346.jpeg;
OTRO;36957;LABORATORIOS BIOPROYECT;PATOLOGIA CLINICA,ANATOMIA PATOLOGICA;SERVICIO MÉDICO DE APOYO;PUNO;PUNO;PUNO;210101;Tacna;29;;0;PUNO;;NO PERTENECE A NINGUNA MICRORED;;;0;968744005;7:30 - 18:00;20/10/2024;ACTIVO;-15.83898581;-70.02608352;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250327121652.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250327121655.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250327121659.jpeg;
PRIVADO;36236;CENTRO DE GINECOLOGIA INTEGRAL;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;TACNA;29;;;PUNO;;;;;I-2;951681045;9:00 - 19:00;30/07/2024;ACTIVO;-15.84121265;-70.02342545;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240730160523.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240730160356.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240730160401.jpeg;
PRIVADO;36943;CLINICA MEDICAL SUR;HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA;ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO;PUNO;PUNO;PUNO;210101;375 - 377;29;;;PUNO;;;;;II-E;987057002;00:00 - 24:00;11/03/2024;ACTIVO;-15.8324731;-70.0245836;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240314121753.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240314121800.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240314122225.jpeg;
PRIVADO;35910;MI BREVETE;POLICLINICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AREQUIPA;29;;;PUNO;;;;;I-3;979000105;8:00 - 19:00;11/07/2024;ACTIVO;-15.8402218;-70.0218805;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240711152944.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240711152952.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240711152956.jpeg;
OTRO;36999;SERVICIO MÉDICO PRIMARIO UNA PUNO;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;FLORAL;29;;0;PUNO;;NO PERTENECE A NINGUNA MICRORED;;;I-3;051-352206;07:00 - 19:00;4/01/2018;ACTIVO;-15.82419242;-70.01213402;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250717164343.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250717164346.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250717164350.jpg;
GOBIERNO REGIONAL;35944;"CENTRO DE SALUD MENTAL COMUNITARIO ""ALTO PUNO""";CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;CHIRIHUANOS;29;150;0;PUNO;PUNO;NO PERTENECE A NINGUNA MICRORED;919;SALUD PUNO;I-3;927575879;07:00 - 19:00 Hrs.;18/08/2023;ACTIVO;-16.2883753;-69.226093;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240601145504.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240601145509.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240601145513.jpeg;
